Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM6150281,"peripheral blood, colorectal cancer-r1 (JH0058)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150281/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150282,"peripheral blood, colorectal cancer-r1 (JH0071)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150282/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150283,"peripheral blood, colorectal cancer-r1 (JH0121)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150283/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150284,"peripheral blood, colorectal cancer-r1 (JM0015)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150284/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150285,"peripheral blood, colorectal cancer-r1 (MH0001)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150285/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150286,"peripheral blood, colorectal cancer-r1 (MH0018)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150286/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150287,"peripheral blood, colorectal cancer-r1 (MH0028)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150287/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150288,"peripheral blood, colorectal cancer-r1 (MH0033)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150288/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150289,"peripheral blood, colorectal cancer-r1 (MH0063)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150289/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150290,"peripheral blood, colorectal cancer-r1 (MH0091)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150290/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150291,"peripheral blood, colorectal cancer-r1 (NK2011)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150291/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150292,"peripheral blood, colorectal cancer-r1 (PB0293)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150292/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150293,"peripheral blood, colorectal cancer-r1 (PB1471)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150293/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150294,"peripheral blood, colorectal cancer-r1 (PB1829)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150294/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150295,"peripheral blood, colorectal cancer-r1 (PB2818)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150295/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150296,"peripheral blood, colorectal cancer-r1 (PB3010)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150296/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150297,"peripheral blood, colorectal cancer-r1 (RC1053)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150297/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150298,"peripheral blood, colorectal cancer-r1 (RC3445)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150298/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150299,"peripheral blood, colorectal cancer-r1 (RC467)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150299/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150300,"peripheral blood, colorectal cancer-r1 (JH0154)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150300/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150301,"peripheral blood, colorectal cancer-r1 (DES1002)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150301/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150302,"peripheral blood, colorectal cancer-r1 (JH0046)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150302/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150303,"peripheral blood, colorectal cancer-r1 (JH0069)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150303/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150304,"peripheral blood, colorectal cancer-r1 (JM0019)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150304/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150305,"peripheral blood, colorectal cancer-r1 (MH0004)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150305/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150306,"peripheral blood, colorectal cancer-r1 (MH0031-2)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150306/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150307,"peripheral blood, colorectal cancer-r1 (MH0035)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150307/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150308,"peripheral blood, colorectal cancer-r1 (MH0039)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150308/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150309,"peripheral blood, colorectal cancer-r1 (MH0097)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150309/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150310,"peripheral blood, colorectal cancer-r1 (MR1002)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150310/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150311,"peripheral blood, colorectal cancer-r1 (NK2012)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150311/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150312,"peripheral blood, colorectal cancer-r1 (PB1872)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150312/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150313,"peripheral blood, colorectal cancer-r1 (RC0287)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150313/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150314,"peripheral blood, colorectal cancer-r1 (AN0015)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150314/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150315,"peripheral blood, colorectal cancer-r1 (CD0180)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150315/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150316,"peripheral blood, colorectal cancer-r1 (DS0001)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150316/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150317,"peripheral blood, colorectal cancer-r1 (FC0013)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150317/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150318,"peripheral blood, colorectal cancer-r1 (FC0016)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150318/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150319,"peripheral blood, colorectal cancer-r1 (MH0009)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150319/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150320,"peripheral blood, colorectal cancer-r1 (PB0466)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150320/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150321,"peripheral blood, colorectal cancer-r1 (PB2846)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150321/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150322,"peripheral blood, colorectal cancer-r1 (RC1595)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150322/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150323,"peripheral blood, colorectal cancer-r1 (MH0030)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150323/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150324,"peripheral blood, colorectal cancer-r1 (MH0037)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150324/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150325,"peripheral blood, colorectal cancer-r1 (NK2017)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150325/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150326,"peripheral blood, colorectal cancer-r1 (FC0022)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150326/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150327,"peripheral blood, colorectal cancer-r1 (JH0059)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150327/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150328,"peripheral blood, colorectal cancer-r1 (JH0125)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150328/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150329,"peripheral blood, colorectal cancer-r1 (MH0022)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150329/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150330,"peripheral blood, colorectal cancer-r1 (MH0093)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150330/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150331,"peripheral blood, colorectal cancer-r1 (PB0227)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150331/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150332,"peripheral blood, colorectal cancer-r1 (CD0164)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150332/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150333,"peripheral blood, colorectal cancer-r1 (CD0256)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150333/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150334,"peripheral blood, colorectal cancer-r1 (CD0371)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150334/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150335,"peripheral blood, colorectal cancer-r1 (MH0024)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150335/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150336,"peripheral blood, colorectal cancer-r1 (RC171)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150336/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150337,"peripheral blood, colorectal cancer-r1 (RC2145)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150337/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150338,"peripheral blood, colorectal cancer-r1 (RC2273)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150338/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150339,"peripheral blood, colorectal cancer-r1 (RC3095)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150339/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150340,"peripheral blood, colorectal cancer-r1 (RC3438)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150340/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150341,"peripheral blood, colorectal cancer-r1 (RC3467)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150341/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150342,"peripheral blood, colorectal cancer-r1 (BT0003)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150342/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150343,"peripheral blood, colorectal cancer-r1 (BT0010)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150343/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150344,"peripheral blood, colorectal cancer-r1 (BT0011)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150344/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150345,"peripheral blood, colorectal cancer-r1 (BT0013)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150345/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150346,"peripheral blood, colorectal cancer-r1 (CD0157)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150346/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150347,"peripheral blood, colorectal cancer-r1 (CD0629)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150347/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150348,"peripheral blood, colorectal cancer-r1 (CD0686)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150348/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150349,"peripheral blood, colorectal cancer-r1 (CTL0101B)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150349/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150350,"peripheral blood, colorectal cancer-r1 (CTL0102)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150350/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150351,"peripheral blood, colorectal cancer-r1 (CTL0103)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150351/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150352,"peripheral blood, colorectal cancer-r1 (CTL0130)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150352/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150353,"peripheral blood, colorectal cancer-r1 (CTL0134)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150353/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150354,"peripheral blood, colorectal cancer-r1 (CTL0209)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150354/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150355,"peripheral blood, colorectal cancer-r1 (CTL0339)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150355/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150356,"peripheral blood, colorectal cancer-r1 (CTL0345)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150356/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150357,"peripheral blood, colorectal cancer-r1 (CTL0350)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150357/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150358,"peripheral blood, colorectal cancer-r1 (CTL0422)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150358/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150359,"peripheral blood, colorectal cancer-r1 (CTL0425)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150359/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150360,"peripheral blood, colorectal cancer-r1 (CTL0534)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150360/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150361,"peripheral blood, colorectal cancer-r1 (CTL0627)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150361/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150362,"peripheral blood, colorectal cancer-r1 (CTL0634)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150362/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150363,"peripheral blood, colorectal cancer-r1 (CTL0651)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150363/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150364,"peripheral blood, colorectal cancer-r1 (CTL0656)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150364/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150365,"peripheral blood, colorectal cancer-r1 (CTL0666)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150365/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150366,"peripheral blood, colorectal cancer-r1 (CTL0730)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150366/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150367,"peripheral blood, colorectal cancer-r1 (CTL0761)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150367/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150368,"peripheral blood, colorectal cancer-r1 (CTL0835)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150368/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150369,"peripheral blood, colorectal cancer-r1 (CTL0871)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150369/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150370,"peripheral blood, colorectal cancer-r1 (CTL0882)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150370/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150371,"peripheral blood, colorectal cancer-r1 (CTL0901)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150371/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150372,"peripheral blood, colorectal cancer-r1 (CTL0903)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150372/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150373,"peripheral blood, colorectal cancer-r1 (CTL0904)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150373/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150374,"peripheral blood, colorectal cancer-r1 (CTL0905)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150374/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150375,"peripheral blood, colorectal cancer-r1 (CTL138)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150375/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150376,"peripheral blood, colorectal cancer-r1 (CTL171)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150376/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150377,"peripheral blood, colorectal cancer-r1 (CTL176)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150377/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150378,"peripheral blood, colorectal cancer-r1 (CTL177)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150378/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150379,"peripheral blood, colorectal cancer-r1 (CTL178)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150379/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6150380,"peripheral blood, colorectal cancer-r1 (CTL180)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6150nnn/GSM6150380/suppl",,"Adam Dempsey","Aug 31, 2024"
